ProductionID,Name,Genre,Length_Secs,Year,Type,EditableID
1318,Dumbo,Fantasy,10000,2019,MOVIE,1378
1319,The Beach Bum,Comedy,10001,2019,MOVIE,1379
1320,Unplanned,Drama,10002,2019,MOVIE,1380
1321,Diane,Drama,10003,2019,MOVIE,1381
1322,Us,Horror,10004,2019,MOVIE,1382
1323,Captain Marvel,Action,10005,2019,MOVIE,1383
1324,Wonder Park,Adventure,10006,2019,MOVIE,1384
1325,Dumbo,Fantasy,10007,2019,MOVIE,1385
1326,The Beach Bum,Comedy,10008,2019,MOVIE,1386
1327,Unplanned,Drama,10009,2019,MOVIE,1387
1328,Diane,Drama,10010,2019,MOVIE,1388
1329,Us,Horror,10011,2019,MOVIE,1389
1330,Captain Marvel,Action,10012,2019,MOVIE,1390
1331,Wonder Park,Adventure,10013,2019,MOVIE,1391
1332,Dumbo,Fantasy,10014,2019,MOVIE,1392
1333,The Beach Bum,Comedy,10015,2019,MOVIE,1393
1334,Unplanned,Drama,10016,2019,MOVIE,1394
1335,Diane,Drama,10017,2019,MOVIE,1395
1336,Us,Horror,10018,2019,MOVIE,1396
1337,Captain Marvel,Drama,10019,2019,MOVIE,1397
